name,address,location,description,rating,cancellation_policy_days,image_url
Hanoi Hotel,"D8 P. Giảng Võ, Giảng Võ, Hà Nội 10000, Việt Nam",Hà Nội,,4.3,3,https://images.unsplash.com/photo-1584132967334-10e028bd69f7?auto=format&fit=crop&w=1200&q=80
Hanoi Pearl Hotel,"6 Ng. Báo Khánh, Hoàn Kiếm, Hà Nội, Việt Nam",Hà Nội,,4.5,5,https://images.unsplash.com/photo-1578683010236-d716f9a3f461?auto=format&fit=crop&w=1200&q=80
The Oriental Jade Hotel,"92-94 P. Hàng Trống, Hoàn Kiếm, Hà Nội, Việt Nam",Hà Nội,,4.9,3,https://images.unsplash.com/photo-1618773928121-c32242e63f39?auto=format&fit=crop&w=1200&q=80
Five Star West Lake,"164b Đ. Hoàng Hoa Thám, Tây Hồ, Hà Nội, Việt Nam",Hà Nội,,4.7,3,https://images.unsplash.com/photo-1591088398332-8a7791972843?auto=format&fit=crop&w=1200&q=80
DE LA SOIE Hotel & Travel,"111 P. Hàng Đào, Phố cổ Hà Nội, Hoàn Kiếm, Hà Nội 100000, Việt Nam",Hà Nội,,4.4,5,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=1200&q=80
Khách sạn Sheraton Cần Thơ,"209 Đ. 30 Tháng 4, Ninh Kiều, Cần Thơ 900000, Việt Nam",Cần Thơ,,4.6,7,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1200&q=80
TTC Hotel - Cần Thơ - Khách sạn 5 sao,"2 Đ. Hai Bà Trưng, Ninh Kiều, Cần Thơ 90000, Việt Nam",Cần Thơ,,4.3,5,https://images.unsplash.com/photo-1540541338287-41700207dee6?auto=format&fit=crop&w=1200&q=80
Khách sạn Mường Thanh Luxury Cần Thơ,"Khu E1, cồn, Cái Khế, Cần Thơ 900000, Việt Nam",Cần Thơ,,4.4,5,https://images.unsplash.com/photo-1586611292717-f828b167408c?auto=format&fit=crop&w=1200&q=80
Khách sạn Ninh Kiều 2,"03 Đ. Hoà Bình, Ninh Kiều, Cần Thơ, Việt Nam",Cần Thơ,,4,3,https://images.unsplash.com/photo-1535827841776-24afc1e255ac?auto=format&fit=crop&w=1200&q=80
Victoria Can Tho Resort,"Cái Khế, Cần Thơ, Việt Nam",Cần Thơ,,4.7,7,https://images.unsplash.com/photo-1573843981267-be1999ff37cd?auto=format&fit=crop&w=1200&q=80
Khách Sạn Dalat Palace,"2 Đ. Trần Phú, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Đà Lạt,,4.4,7,https://images.unsplash.com/photo-1580835845971-a393b73bf370?auto=format&fit=crop&w=1200&q=80
Khách Sạn Sài Gòn Đà Lạt,"180 Ba Tháng Hai, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Đà Lạt,,4.3,3,https://images.unsplash.com/photo-1561501900-3701fa6a0864?auto=format&fit=crop&w=1200&q=80
Ladalat Hotel,"106A Đường Mai Anh Đào, Lâm Viên - Đà Lạt, Lâm Đồng 671460, Việt Nam",Đà Lạt,,4.4,3,https://images.unsplash.com/photo-1498503182468-3b51cbb6cb24?auto=format&fit=crop&w=1200&q=80
Khách sạn Mường Thanh Holiday Đà Lạt,"42 Phan Bội Châu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Đà Lạt,,4.1,3,https://images.unsplash.com/photo-1549294413-26f195200c16?auto=format&fit=crop&w=1200&q=80
MerPerle Dalat Hotel,"1 Đ. Hùng Vương, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Đà Lạt,,4.9,3,https://images.unsplash.com/photo-1596436889106-be35e843f974?auto=format&fit=crop&w=1200&q=80
Wyndham Grand Phu Quoc,"Bãi Dài, Phú Quốc, Kiên Giang 922251, Việt Nam",Phú Quốc,,4.9,5,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=1200&q=80
Vinpearl Resort & Spa Phú Quốc,"Bãi Dài, Gành Dầu, Phú Quốc, An Giang, Việt Nam",Phú Quốc,,4.9,5,https://images.unsplash.com/photo-1507652313519-d4e9174996dd?auto=format&fit=crop&w=1200&q=80
Seashells Phu Quoc Hotel & Spa,"01 Võ Thị Sáu, Khu phố 2, Duong Dong, Phú Quốc, An Giang 92500, Việt Nam",Phú Quốc,,4.4,5,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80
JW Marriott Phu Quoc Emerald Bay Resort & Spa,"Eco-Tourism at Bai Khem, Phú Quốc, An Giang 922280, Việt Nam",Phú Quốc,,4.7,7,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&w=1200&q=80
InterContinental Phu Quoc Long Beach Resort,"Marina, Bai Truong, Phú Quốc, An Giang, Việt Nam",Phú Quốc,,4.8,5,https://images.unsplash.com/photo-1455587734955-081b22074882?auto=format&fit=crop&w=1200&q=80
Hanoi Hotel,"D8 P. Giảng Võ, Giảng Võ, Hà Nội 10000, Việt Nam",Hà Nội,,4.3,7,https://images.unsplash.com/photo-1568084680786-a84f91d1153c?auto=format&fit=crop&w=1200&q=80
Hanoi Pearl Hotel,"6 Ng. Báo Khánh, Hoàn Kiếm, Hà Nội, Việt Nam",Hà Nội,,4.5,5,https://images.unsplash.com/photo-1571770095004-6b61b1cf308a?auto=format&fit=crop&w=1200&q=80
The Oriental Jade Hotel,"92-94 P. Hàng Trống, Hoàn Kiếm, Hà Nội, Việt Nam",Hà Nội,,4.9,3,https://images.unsplash.com/photo-1563911302283-d2bc129e7570?auto=format&fit=crop&w=1200&q=80
Five Star West Lake,"164b Đ. Hoàng Hoa Thám, Tây Hồ, Hà Nội, Việt Nam",Hà Nội,,4.7,7,https://images.unsplash.com/photo-1596394516093-501ba68a0ba6?auto=format&fit=crop&w=1200&q=80
DE LA SOIE Hotel & Travel,"111 P. Hàng Đào, Phố cổ Hà Nội, Hoàn Kiếm, Hà Nội 100000, Việt Nam",Hà Nội,,4.4,3,https://images.unsplash.com/photo-1517840901100-8179e982acb7?auto=format&fit=crop&w=1200&q=80
JM Marvel Hotel & Spa,"16 P. Hàng Da, Phố cổ Hà Nội, Hoàn Kiếm, Hà Nội 100000, Việt Nam",Hà Nội,,4.8,5,https://images.unsplash.com/photo-1613490493576-7fde63acd811?auto=format&fit=crop&w=1200&q=80
Old Quarter View Hanoi Hostel,"3-5 Ng. Nội Miếu, Phố cổ Hà Nội, Hoàn Kiếm, Hà Nội 100000, Việt Nam",Hà Nội,,4.8,7,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=1200&q=80
L'HÔTEL du LAC Hanoi,"35 P. Hàng Trống, Phường, Hoàn Kiếm, Hà Nội, Việt Nam",Hà Nội,,4.9,5,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=1200&q=80
Hanoi Le Grand Hotel,"1b9 Đầm Trấu, Hồng Hà, Hà Nội, Việt Nam",Hà Nội,,4,3,https://images.unsplash.com/photo-1576013551627-0cc20b96c2a7?auto=format&fit=crop&w=1200&q=80
Affa Boutique Hotel,"17 P. Tràng Thi, Cửa Nam, Hà Nội, Việt Nam",Hà Nội,,4.2,7,https://images.unsplash.com/photo-1505691938895-1758d7feb511?auto=format&fit=crop&w=1200&q=80
"Vinpearl Landmark 81, Autograph Collection","720A Điện Biên Phủ, Vinhomes Tân Cảng, Thạnh Mỹ Tây, Hồ Chí Minh 700000, Việt Nam",Hồ Chí Minh,,4.7,5,https://images.unsplash.com/photo-1590381105924-c72589b9ef3f?auto=format&fit=crop&w=1200&q=80
Central Ngọc Hotel,"216 Đề Thám, Bến Thành, Hồ Chí Minh 700000, Việt Nam",Hồ Chí Minh,,3.4,7,https://images.unsplash.com/photo-1587985064135-0366536eab42?auto=format&fit=crop&w=1200&q=80
La Vela Saigon,"280 Nam Kỳ Khởi Nghĩa, Xuân Hòa, Hồ Chí Minh 700000, Việt Nam",Hồ Chí Minh,,4.2,5,https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?auto=format&fit=crop&w=1200&q=80
Hotel Majestic Saigon,"1 Đồng Khởi, Sài Gòn, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,,4.5,5,https://images.unsplash.com/photo-1595576508898-0ad5c879a061?auto=format&fit=crop&w=1200&q=80
Khách sạn Bay Hồ Chí Minh,"7 Ngô Văn Năm, Sài Gòn, Hồ Chí Minh 700000, Việt Nam",Hồ Chí Minh,,4.1,7,https://images.unsplash.com/photo-1561053720-76cd73ff22c3?auto=format&fit=crop&w=1200&q=80
New World Saigon Hotel,"76 Lê Lai, Bến Thành, Hồ Chí Minh 700000, Việt Nam",Hồ Chí Minh,,4.6,5,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=1200&q=80
Khách sạn Pullman Sài Gòn Centre,"148 Trần Hưng Đạo, Boulevard, Ward, Hồ Chí Minh 700000, Việt Nam",Hồ Chí Minh,,4.5,3,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=1200&q=80
Khách sạn LOTTE Sài Gòn,"2A-4A Tôn Đức Thắng, Phường, Sài Gòn, Hồ Chí Minh 700000, Việt Nam",Hồ Chí Minh,,4.6,3,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=1200&q=80
The Odys Boutique Hotel,"Nguyễn Thái Bình, Bến Thành, Hồ Chí Minh 70000, Việt Nam",Hồ Chí Minh,,4.5,7,https://images.unsplash.com/photo-1519643381401-22c77e60520e?auto=format&fit=crop&w=1200&q=80
Eastin Grand Hotel Saigon,"253 Đ. Nguyễn Văn Trỗi, Phú Nhuận, Hồ Chí Minh 70000, Việt Nam",Hồ Chí Minh,,4.4,5,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=1200&q=80
